127.0.0.1, 2014-07-16 21:55:58, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000491
127.0.0.1, 2014-07-16 21:55:58, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000516
127.0.0.1, 2014-07-16 21:55:58, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.001594
127.0.0.1, 2014-07-16 21:55:58, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000793
127.0.0.1, 2014-07-16 21:55:58, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.001198
127.0.0.1, 2014-07-16 21:55:58, GET, /admin/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.002289
127.0.0.1, 2014-07-16 21:55:58, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.003129
127.0.0.1, 2014-07-16 21:55:58, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000504
127.0.0.1, 2014-07-16 21:55:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000301
127.0.0.1, 2014-07-16 21:58:59, GET, /, HTTP/1.1, 303, 9.141226
127.0.0.1, 2014-07-16 21:59:01, GET, /ForCA/default/home, HTTP/1.1, 500, 1.982074
127.0.0.1, 2014-07-16 21:59:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000302
127.0.0.1, 2014-07-16 21:59:03, GET, /admin/default/ticket/ForCA/127.0.0.1.2014-07-16.21-58-59.e2d8d911-9d78-4c21-8578-5b1e16ec754d, HTTP/1.1, 200, 0.081366
127.0.0.1, 2014-07-16 21:59:03, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000552
127.0.0.1, 2014-07-16 21:59:03, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000369
127.0.0.1, 2014-07-16 21:59:03, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.001470
127.0.0.1, 2014-07-16 21:59:03, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.001297
127.0.0.1, 2014-07-16 21:59:03, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001299
127.0.0.1, 2014-07-16 21:59:03, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.000640
127.0.0.1, 2014-07-16 21:59:03, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.002327
127.0.0.1, 2014-07-16 21:59:03, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.000849
127.0.0.1, 2014-07-16 21:59:03, GET, /admin/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000323
127.0.0.1, 2014-07-16 21:59:03, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000437
127.0.0.1, 2014-07-16 21:59:03, GET, /favicon.ico, HTTP/1.1, 400, 0.001017
127.0.0.1, 2014-07-16 22:02:45, GET, /, HTTP/1.1, 303, 9.293363
127.0.0.1, 2014-07-16 22:02:48, GET, /ForCA/default/home, HTTP/1.1, 200, 2.404030
127.0.0.1, 2014-07-16 22:02:54, GET, /ForCA/prof/list, HTTP/1.1, 200, 3.454480
